"ID","NAME","ACCOUNTNUMBER","ACCOUNTSOURCE","ACTIVE__C","ANNUALREVENUE","BILLINGCITY","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CLEANSTATUS","CUSTOMERPRIORITY__C","DANDBCOMPANYID","DESCRIPTION","DUNSNUMBER","FAX","INDUSTRY","JIGSAW","NAICSCODE","NAICSDESC","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OWNERID","OWNERSHIP","PARENTID","PHONE","RATING","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGGEOCODEACCURACY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGPOSTALCODE","SHIPPINGSTATE","SHIPPINGSTREET","SIC","SICDESC","SITE","SLA__C","SLAEXPIRATIONDATE__C","SLASERIALNUMBER__C","TICKERSYMBOL","TRADESTYLE","TYPE","UPSELLOPPORTUNITY__C","WEBSITE","YEARSTARTED"
"0014W00002578rVQAQ","Burlington Textiles Corp of America","CD656092","","","3.5E8","Burlington","USA","","","","27215","NC","525 S. Lexington Ave","Pending","","","","","(336) 222-8000","Apparel","","","","9000","6.0","0054W00000AuCYfQAN","Public","","(336) 222-7000","Warm","","","","","","","","","546732","","","Silver","2019-10-22","5367","BTXT","","Customer - Direct","Maybe","www.burlington.com",""
"0014W00002578rXQAQ","Dickenson plc","CC634267","","Yes","5.0E7","Lawrence","USA","","","","66045","KS","1301 Hoch Drive","Pending","Low","","","","(785) 241-6201","Consulting","","","","120","2.0","0054W00000AuCYfQAN","Private","","(785) 241-6200","","Lawrence","USA","","","","66045","KS","1301 Hoch Drive","6752","","","Bronze","2020-04-23","7425","","","Customer - Channel","No","dickenson-consulting.com",""
"0014W00002578rUQAQ","Edge Communications","CD451796","","Yes","1.39E8","Austin","","","","","","TX","312 Constitution Place
Austin, TX 78767
USA","Pending","Medium","","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","","(512) 757-9000","Electronics","","","","1000","2.0","0054W00000AuCYfQAN","Public","","(512) 757-6000","Hot","","","","","","","","312 Constitution Place
Austin, TX 78767
USA","6576","","","Silver","2019-10-22","2657","EDGE","","Customer - Direct","Maybe","http://edgecomm.com",""
"0014W00002578raQAA","Express Logistics and Transport","CC947211","","Yes","9.5E8","Portland","","","","","","OR","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Pending","Medium","","Commerical logistics and transportation company.","","(503) 421-7801","Transportation","","","","12300","150.0","0054W00000AuCYfQAN","Public","","(503) 421-7800","Cold","","","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","8742","","","Platinum","2020-04-23","4724","EXLT","","Customer - Channel","Maybe","www.expressl&t.net",""
"0014W00002578reQAA","GenePoint","CC978213","","Yes","3.0E7","Mountain View","","","","","","CA","345 Shoreline Park
Mountain View, CA 94043
USA","Pending","Low","","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","","(650) 867-9895","Biotechnology","","","","265","1.0","0054W00000AuCYfQAN","Private","","(650) 867-3450","Cold","","","","","","","","345 Shoreline Park
Mountain View, CA 94043
USA","3712","","","Bronze","2020-04-23","7324","","","Customer - Channel","Yes","www.genepoint.com",""
"0014W00002578rYQAQ","Grand Hotels & Resorts Ltd","CD439877","","Yes","5.0E8","Chicago","","","","","","IL","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Pending","High","","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","","(312) 596-1500","Hospitality","","","","5600","57.0","0054W00000AuCYfQAN","Public","","(312) 596-1000","Warm","","","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","2268","","","Gold","2020-04-23","5572","GHTL","","Customer - Direct","Yes","www.grandhotels.com",""
"0014W00002578rWQAQ","Pyramid Construction Inc.","CC213425","","Yes","9.5E8","Paris","France","","","","75251","","2 Place Jussieu","Pending","","","","","(014) 427-4428","Construction","","","","2680","17.0","0054W00000AuCYfQAN","Public","","(014) 427-4427","","Paris","France","","","","75251","","2 Place Jussieu","4253","","","Silver","2020-04-23","9840","PYR","","Customer - Channel","Maybe","www.pyramid.com",""
"0014W00002578rfQAA","sForce","","","","","San Francisco","US","","","","94087","CA","The Landmark @ One Market","Pending","","","","","(415) 901-7002","","","","","","","0054W00000AuCYfQAN","","","(415) 901-7000","","","","","","","","","","","","","","","","","","","","www.sforce.com",""
"0014W00002578rZQAQ","United Oil & Gas Corp.","CD355118","","Yes","5.6E9","New York","","","","","","NY","1301 Avenue of the Americas 
New York, NY 10019
USA","Pending","High","","World's third largest oil and gas company.","","(212) 842-5501","Energy","","","","145000","955.0","0054W00000AuCYfQAN","Public","","(212) 842-5500","Hot","","","","","","","","1301 Avenue of the Americas 
New York, NY 10019
USA","4437","","","Platinum","2020-04-23","6654","UOS","","Customer - Direct","Yes","http://www.uos.com",""
"0014W00002578rdQAA","United Oil & Gas, Singapore","CD355120-B","","Yes","","Singapore","","","","","","Singapore","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Pending","High","","","","(650) 450-8820","Energy","","","","3000","6.0","0054W00000AuCYfQAN","Public","","(650) 450-8810","","","","","","","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","4437","","","Platinum","2020-04-23","2457","UOS","","Customer - Direct","Maybe","http://www.uos.com",""
